"Maturity","Tenor","Price"
4,5,2.22570360580076E-02
4,6,2.67777038966356E-02
4,7,3.12523517707956E-02
4,8,3.56567818828686E-02
4,9,3.99697932639926E-02
4,10,4.41760379182571E-02
5,5,2.52623027025432E-02
5,6,3.02973241059254E-02
5,7,3.52551244419632E-02
5,8,4.01119764907366E-02
5,9,4.48506931926122E-02
5,10,4.94609827595372E-02
7,5,3.00694855723147E-02
7,6,3.58661896869166E-02
7,7,4.15267357050051E-02
7,8,4.70386423608209E-02
7,9,5.23936977746267E-02
7,10,5.75854099139107E-02
10,5,3.45922325375718E-02
10,6,4.10320248508232E-02
10,7,4.72814734717742E-02
10,8,5.33293852291963E-02
10,9,5.91614839917321E-02
10,10,6.47663008129968E-02
4,5,44.9296122535696
4,6,37.3445013754761
4,7,31.9975919679258
4,8,28.0451557093674
4,9,25.018893477762
4,10,22.6367063938688
5,5,39.5846733282682
5,6,33.006215219001
5,7,28.3646708337732
5,8,24.9302100640924
5,9,22.2961994300842
5,10,20.2179565428707
7,5,33.2563055525204
7,6,27.8814116784974
7,7,24.0808718292652
7,8,21.2591169687523
7,9,19.0862649989229
7,10,17.3655097965784
10,5,28.9082238017991
10,6,24.37120770022
10,7,21.149933083134
10,8,18.7513881081181
10,9,16.9028890509195
10,10,15.4401283915744
